region,category,parameter,mode,powertrain,year,unit,value
China,Historical,EV charging points,EV,Publicly available slow,2014,charging points,21000
China,Historical,EV charging points,EV,Publicly available fast,2015,charging points,12000
China,Historical,EV charging points,EV,Publicly available slow,2015,charging points,47000
China,Historical,EV charging points,EV,Publicly available fast,2016,charging points,55000
China,Historical,EV charging points,EV,Publicly available slow,2016,charging points,86000
China,Historical,EV charging points,EV,Publicly available fast,2017,charging points,83000
China,Historical,EV charging points,EV,Publicly available slow,2017,charging points,130000
China,Historical,EV charging points,EV,Publicly available fast,2018,charging points,110000
China,Historical,EV charging points,EV,Publicly available slow,2018,charging points,160000
China,Historical,EV charging points,EV,Publicly available fast,2019,charging points,210000
China,Historical,EV charging points,EV,Publicly available slow,2019,charging points,300000
China,Historical,EV charging points,EV,Publicly available fast,2020,charging points,310000
China,Historical,EV charging points,EV,Publicly available slow,2020,charging points,500000
China,Historical,EV charging points,EV,Publicly available fast,2021,charging points,470000
China,Historical,EV charging points,EV,Publicly available slow,2021,charging points,680000
Denmark,Historical,EV charging points,EV,Publicly available fast,2012,charging points,3
Denmark,Historical,EV charging points,EV,Publicly available slow,2012,charging points,450
Denmark,Historical,EV charging points,EV,Publicly available fast,2013,charging points,56
Denmark,Historical,EV charging points,EV,Publicly available slow,2013,charging points,500
Denmark,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120
Denmark,Historical,EV charging points,EV,Publicly available slow,2014,charging points,810
Denmark,Historical,EV charging points,EV,Publicly available fast,2015,charging points,270
Denmark,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1000
Denmark,Historical,EV charging points,EV,Publicly available fast,2016,charging points,310
Denmark,Historical,EV charging points,EV,Publicly available slow,2016,charging points,2100
Denmark,Historical,EV charging points,EV,Publicly available fast,2017,charging points,370
Denmark,Historical,EV charging points,EV,Publicly available slow,2017,charging points,2100
Denmark,Historical,EV charging points,EV,Publicly available fast,2018,charging points,390
Denmark,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2200
Denmark,Historical,EV charging points,EV,Publicly available fast,2019,charging points,450
Denmark,Historical,EV charging points,EV,Publicly available slow,2019,charging points,2200
Denmark,Historical,EV charging points,EV,Publicly available fast,2020,charging points,560
Denmark,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2700
Denmark,Historical,EV charging points,EV,Publicly available fast,2021,charging points,680
Denmark,Historical,EV charging points,EV,Publicly available slow,2021,charging points,3500
Finland,Historical,EV charging points,EV,Publicly available fast,2013,charging points,17
Finland,Historical,EV charging points,EV,Publicly available slow,2013,charging points,250
Finland,Historical,EV charging points,EV,Publicly available fast,2014,charging points,26
Finland,Historical,EV charging points,EV,Publicly available slow,2014,charging points,360
Finland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,130
Finland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,710
Finland,Historical,EV charging points,EV,Publicly available fast,2016,charging points,140
Finland,Historical,EV charging points,EV,Publicly available slow,2016,charging points,710
Finland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,140
Finland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,710
Finland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,220
Finland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,710
Finland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,340
Finland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1800
Finland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,410
Finland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,3900
Finland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,770
Finland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,5800
France,Historical,EV charging points,EV,Publicly available fast,2012,charging points,9
France,Historical,EV charging points,EV,Publicly available slow,2012,charging points,800
France,Historical,EV charging points,EV,Publicly available fast,2013,charging points,100
France,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1700
France,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110
France,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1700
France,Historical,EV charging points,EV,Publicly available fast,2015,charging points,580
France,Historical,EV charging points,EV,Publicly available slow,2015,charging points,9900
France,Historical,EV charging points,EV,Publicly available fast,2016,charging points,1000
France,Historical,EV charging points,EV,Publicly available slow,2016,charging points,19000
France,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1000
France,Historical,EV charging points,EV,Publicly available slow,2017,charging points,20000
France,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1700
France,Historical,EV charging points,EV,Publicly available slow,2018,charging points,23000
France,Historical,EV charging points,EV,Publicly available fast,2019,charging points,2000
France,Historical,EV charging points,EV,Publicly available slow,2019,charging points,28000
France,Historical,EV charging points,EV,Publicly available fast,2020,charging points,3300
France,Historical,EV charging points,EV,Publicly available slow,2020,charging points,31000
France,Historical,EV charging points,EV,Publicly available fast,2021,charging points,4500
France,Historical,EV charging points,EV,Publicly available slow,2021,charging points,50000
Germany,Historical,EV charging points,EV,Publicly available fast,2012,charging points,18
Germany,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1500
Germany,Historical,EV charging points,EV,Publicly available fast,2013,charging points,47
Germany,Historical,EV charging points,EV,Publicly available slow,2013,charging points,2400
Germany,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120
Germany,Historical,EV charging points,EV,Publicly available slow,2014,charging points,2600
Germany,Historical,EV charging points,EV,Publicly available fast,2015,charging points,470
Germany,Historical,EV charging points,EV,Publicly available slow,2015,charging points,4600
Germany,Historical,EV charging points,EV,Publicly available fast,2016,charging points,1700
Germany,Historical,EV charging points,EV,Publicly available slow,2016,charging points,22000
Germany,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1800
Germany,Historical,EV charging points,EV,Publicly available slow,2017,charging points,22000
Germany,Historical,EV charging points,EV,Publicly available fast,2018,charging points,2600
Germany,Historical,EV charging points,EV,Publicly available slow,2018,charging points,23000
Germany,Historical,EV charging points,EV,Publicly available fast,2019,charging points,5100
Germany,Historical,EV charging points,EV,Publicly available slow,2019,charging points,34000
Germany,Historical,EV charging points,EV,Publicly available fast,2020,charging points,7500
Germany,Historical,EV charging points,EV,Publicly available slow,2020,charging points,37000
Germany,Historical,EV charging points,EV,Publicly available fast,2021,charging points,9200
Germany,Historical,EV charging points,EV,Publicly available slow,2021,charging points,42000
Greece,Historical,EV charging points,EV,Publicly available fast,2018,charging points,22
Greece,Historical,EV charging points,EV,Publicly available fast,2019,charging points,22
Greece,Historical,EV charging points,EV,Publicly available slow,2019,charging points,12
Greece,Historical,EV charging points,EV,Publicly available fast,2020,charging points,29
Greece,Historical,EV charging points,EV,Publicly available slow,2020,charging points,160
Greece,Historical,EV charging points,EV,Publicly available fast,2021,charging points,79
Greece,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1100
Iceland,Historical,EV charging points,EV,Publicly available fast,2014,charging points,6
Iceland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,11
Iceland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,11
Iceland,Historical,EV charging points,EV,Publicly available fast,2016,charging points,40
Iceland,Historical,EV charging points,EV,Publicly available slow,2016,charging points,11
Iceland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,36
Iceland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,32
Iceland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,55
Iceland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,40
Iceland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,150
Iceland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,110
Iceland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,190
Iceland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,290
Iceland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,120
Iceland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,560
India,Historical,EV charging points,EV,Publicly available fast,2016,charging points,25
India,Historical,EV charging points,EV,Publicly available fast,2017,charging points,25
India,Historical,EV charging points,EV,Publicly available slow,2017,charging points,220
India,Historical,EV charging points,EV,Publicly available fast,2018,charging points,25
India,Historical,EV charging points,EV,Publicly available slow,2018,charging points,330
India,Historical,EV charging points,EV,Publicly available fast,2019,charging points,25
India,Historical,EV charging points,EV,Publicly available slow,2019,charging points,330
India,Historical,EV charging points,EV,Publicly available fast,2020,charging points,25
India,Historical,EV charging points,EV,Publicly available slow,2020,charging points,540
India,Historical,EV charging points,EV,Publicly available fast,2021,charging points,32
India,Historical,EV charging points,EV,Publicly available slow,2021,charging points,910
Indonesia,Historical,EV charging points,EV,Publicly available fast,2020,charging points,51
Indonesia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,50
Indonesia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,130
Indonesia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,54
Italy,Historical,EV charging points,EV,Publicly available fast,2012,charging points,1
Italy,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1400
Italy,Historical,EV charging points,EV,Publicly available fast,2013,charging points,6
Italy,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1400
Italy,Historical,EV charging points,EV,Publicly available fast,2014,charging points,10
Italy,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1400
Italy,Historical,EV charging points,EV,Publicly available fast,2015,charging points,70
Italy,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1700
Italy,Historical,EV charging points,EV,Publicly available fast,2016,charging points,170
Italy,Historical,EV charging points,EV,Publicly available slow,2016,charging points,2300
Italy,Historical,EV charging points,EV,Publicly available fast,2017,charging points,390
Italy,Historical,EV charging points,EV,Publicly available slow,2017,charging points,2400
Italy,Historical,EV charging points,EV,Publicly available fast,2018,charging points,570
Italy,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2900
Italy,Historical,EV charging points,EV,Publicly available fast,2019,charging points,860
Italy,Historical,EV charging points,EV,Publicly available slow,2019,charging points,8300
Italy,Historical,EV charging points,EV,Publicly available fast,2020,charging points,1200
Italy,Historical,EV charging points,EV,Publicly available slow,2020,charging points,12000
Italy,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2200
Italy,Historical,EV charging points,EV,Publicly available slow,2021,charging points,20000
Japan,Historical,EV charging points,EV,Publicly available fast,2010,charging points,310
Japan,Historical,EV charging points,EV,Publicly available fast,2011,charging points,800
Japan,Historical,EV charging points,EV,Publicly available fast,2012,charging points,1400
Japan,Historical,EV charging points,EV,Publicly available fast,2013,charging points,1800
Japan,Historical,EV charging points,EV,Publicly available fast,2014,charging points,2900
Japan,Historical,EV charging points,EV,Publicly available slow,2014,charging points,8600
Japan,Historical,EV charging points,EV,Publicly available fast,2015,charging points,6000
Japan,Historical,EV charging points,EV,Publicly available slow,2015,charging points,16000
Japan,Historical,EV charging points,EV,Publicly available fast,2016,charging points,7100
Japan,Historical,EV charging points,EV,Publicly available slow,2016,charging points,17000
Japan,Historical,EV charging points,EV,Publicly available fast,2017,charging points,7300
Japan,Historical,EV charging points,EV,Publicly available slow,2017,charging points,22000
Japan,Historical,EV charging points,EV,Publicly available fast,2018,charging points,7700
Japan,Historical,EV charging points,EV,Publicly available slow,2018,charging points,22000
Japan,Historical,EV charging points,EV,Publicly available fast,2019,charging points,7900
Japan,Historical,EV charging points,EV,Publicly available slow,2019,charging points,23000
Japan,Historical,EV charging points,EV,Publicly available fast,2020,charging points,7900
Japan,Historical,EV charging points,EV,Publicly available slow,2020,charging points,22000
Japan,Historical,EV charging points,EV,Publicly available fast,2021,charging points,8000
Japan,Historical,EV charging points,EV,Publicly available slow,2021,charging points,21000
Korea,Historical,EV charging points,EV,Publicly available fast,2016,charging points,920
Korea,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1100
Korea,Historical,EV charging points,EV,Publicly available fast,2017,charging points,3300
Korea,Historical,EV charging points,EV,Publicly available slow,2017,charging points,10000
Korea,Historical,EV charging points,EV,Publicly available fast,2018,charging points,5200
Korea,Historical,EV charging points,EV,Publicly available slow,2018,charging points,22000
Korea,Historical,EV charging points,EV,Publicly available fast,2019,charging points,7400
Korea,Historical,EV charging points,EV,Publicly available slow,2019,charging points,37000
Korea,Historical,EV charging points,EV,Publicly available fast,2020,charging points,9800
Korea,Historical,EV charging points,EV,Publicly available slow,2020,charging points,54000
Korea,Historical,EV charging points,EV,Publicly available fast,2021,charging points,15000
Korea,Historical,EV charging points,EV,Publicly available slow,2021,charging points,92000
Mexico,Historical,EV charging points,EV,Publicly available slow,2016,charging points,56
Mexico,Historical,EV charging points,EV,Publicly available fast,2017,charging points,19
Mexico,Historical,EV charging points,EV,Publicly available slow,2017,charging points,360
Mexico,Historical,EV charging points,EV,Publicly available fast,2018,charging points,30
Mexico,Historical,EV charging points,EV,Publicly available slow,2018,charging points,850
Mexico,Historical,EV charging points,EV,Publicly available fast,2019,charging points,46
Mexico,Historical,EV charging points,EV,Publicly available slow,2019,charging points,980
Mexico,Historical,EV charging points,EV,Publicly available fast,2020,charging points,79
Mexico,Historical,EV charging points,EV,Publicly available slow,2020,charging points,1200
Mexico,Historical,EV charging points,EV,Publicly available fast,2021,charging points,92
Mexico,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1200
Netherlands,Historical,EV charging points,EV,Publicly available slow,2010,charging points,400
Netherlands,Historical,EV charging points,EV,Publicly available slow,2011,charging points,400
Netherlands,Historical,EV charging points,EV,Publicly available fast,2012,charging points,21
Netherlands,Historical,EV charging points,EV,Publicly available slow,2012,charging points,2800
Netherlands,Historical,EV charging points,EV,Publicly available fast,2013,charging points,21
Netherlands,Historical,EV charging points,EV,Publicly available slow,2013,charging points,5800
Netherlands,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120
Netherlands,Historical,EV charging points,EV,Publicly available slow,2014,charging points,12000
Netherlands,Historical,EV charging points,EV,Publicly available fast,2015,charging points,220
Netherlands,Historical,EV charging points,EV,Publicly available slow,2015,charging points,18000
Netherlands,Historical,EV charging points,EV,Publicly available fast,2016,charging points,400
Netherlands,Historical,EV charging points,EV,Publicly available slow,2016,charging points,32000
Netherlands,Historical,EV charging points,EV,Publicly available fast,2017,charging points,410
Netherlands,Historical,EV charging points,EV,Publicly available slow,2017,charging points,33000
Netherlands,Historical,EV charging points,EV,Publicly available fast,2018,charging points,820
Netherlands,Historical,EV charging points,EV,Publicly available slow,2018,charging points,36000
Netherlands,Historical,EV charging points,EV,Publicly available fast,2019,charging points,830
Netherlands,Historical,EV charging points,EV,Publicly available slow,2019,charging points,49000
Netherlands,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2000
Netherlands,Historical,EV charging points,EV,Publicly available slow,2020,charging points,64000
Netherlands,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2600
Netherlands,Historical,EV charging points,EV,Publicly available slow,2021,charging points,83000
New Zealand,Historical,EV charging points,EV,Publicly available fast,2017,charging points,100
New Zealand,Historical,EV charging points,EV,Publicly available fast,2018,charging points,200
New Zealand,Historical,EV charging points,EV,Publicly available slow,2018,charging points,89
New Zealand,Historical,EV charging points,EV,Publicly available fast,2019,charging points,260
New Zealand,Historical,EV charging points,EV,Publicly available slow,2019,charging points,130
New Zealand,Historical,EV charging points,EV,Publicly available fast,2020,charging points,310
New Zealand,Historical,EV charging points,EV,Publicly available slow,2020,charging points,150
New Zealand,Historical,EV charging points,EV,Publicly available fast,2021,charging points,430
New Zealand,Historical,EV charging points,EV,Publicly available slow,2021,charging points,170
Norway,Historical,EV charging points,EV,Publicly available slow,2010,charging points,2800
Norway,Historical,EV charging points,EV,Publicly available fast,2011,charging points,18
Norway,Historical,EV charging points,EV,Publicly available slow,2011,charging points,3100
Norway,Historical,EV charging points,EV,Publicly available fast,2012,charging points,58
Norway,Historical,EV charging points,EV,Publicly available slow,2012,charging points,3700
Norway,Historical,EV charging points,EV,Publicly available fast,2013,charging points,96
Norway,Historical,EV charging points,EV,Publicly available slow,2013,charging points,4500
Norway,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110
Norway,Historical,EV charging points,EV,Publicly available slow,2014,charging points,5200
Norway,Historical,EV charging points,EV,Publicly available fast,2015,charging points,330
Norway,Historical,EV charging points,EV,Publicly available slow,2015,charging points,5200
Norway,Historical,EV charging points,EV,Publicly available fast,2016,charging points,500
Norway,Historical,EV charging points,EV,Publicly available slow,2016,charging points,7000
Norway,Historical,EV charging points,EV,Publicly available fast,2017,charging points,920
Norway,Historical,EV charging points,EV,Publicly available slow,2017,charging points,8300
Norway,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1200
Norway,Historical,EV charging points,EV,Publicly available slow,2018,charging points,9300
Norway,Historical,EV charging points,EV,Publicly available fast,2019,charging points,4000
Norway,Historical,EV charging points,EV,Publicly available slow,2019,charging points,10000
Norway,Historical,EV charging points,EV,Publicly available fast,2020,charging points,5300
Norway,Historical,EV charging points,EV,Publicly available slow,2020,charging points,12000
Norway,Historical,EV charging points,EV,Publicly available fast,2021,charging points,6700
Norway,Historical,EV charging points,EV,Publicly available slow,2021,charging points,13000
Other Europe,Historical,EV charging points,EV,Publicly available fast,2011,charging points,7
Other Europe,Historical,EV charging points,EV,Publicly available slow,2011,charging points,49
Other Europe,Historical,EV charging points,EV,Publicly available fast,2012,charging points,190
Other Europe,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1300
Other Europe,Historical,EV charging points,EV,Publicly available fast,2013,charging points,240
Other Europe,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1800
Other Europe,Historical,EV charging points,EV,Publicly available fast,2014,charging points,340
Other Europe,Historical,EV charging points,EV,Publicly available slow,2014,charging points,2600
Other Europe,Historical,EV charging points,EV,Publicly available fast,2015,charging points,630
Other Europe,Historical,EV charging points,EV,Publicly available slow,2015,charging points,3400
Other Europe,Historical,EV charging points,EV,Publicly available fast,2016,charging points,880
Other Europe,Historical,EV charging points,EV,Publicly available slow,2016,charging points,4400
Other Europe,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1400
Other Europe,Historical,EV charging points,EV,Publicly available slow,2017,charging points,6700
Other Europe,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1800
Other Europe,Historical,EV charging points,EV,Publicly available slow,2018,charging points,8000
Other Europe,Historical,EV charging points,EV,Publicly available fast,2019,charging points,2400
Other Europe,Historical,EV charging points,EV,Publicly available slow,2019,charging points,8800
Other Europe,Historical,EV charging points,EV,Publicly available fast,2020,charging points,4100
Other Europe,Historical,EV charging points,EV,Publicly available slow,2020,charging points,14000
Poland,Historical,EV charging points,EV,Publicly available fast,2014,charging points,4
Poland,Historical,EV charging points,EV,Publicly available slow,2014,charging points,120
Poland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,8
Poland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,290
Poland,Historical,EV charging points,EV,Publicly available fast,2016,charging points,32
Poland,Historical,EV charging points,EV,Publicly available slow,2016,charging points,290
Poland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,110
Poland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,410
Poland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,280
Poland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,490
Poland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,310
Poland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,530
Poland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,680
Poland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,780
Poland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1400
Poland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2300
Portugal,Historical,EV charging points,EV,Publicly available fast,2011,charging points,6
Portugal,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1100
Portugal,Historical,EV charging points,EV,Publicly available fast,2012,charging points,7
Portugal,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1100
Portugal,Historical,EV charging points,EV,Publicly available fast,2013,charging points,17
Portugal,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1200
Portugal,Historical,EV charging points,EV,Publicly available fast,2014,charging points,17
Portugal,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1200
Portugal,Historical,EV charging points,EV,Publicly available fast,2015,charging points,22
Portugal,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1200
Portugal,Historical,EV charging points,EV,Publicly available fast,2016,charging points,41
Portugal,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1300
Portugal,Historical,EV charging points,EV,Publicly available fast,2017,charging points,150
Portugal,Historical,EV charging points,EV,Publicly available slow,2017,charging points,1500
Portugal,Historical,EV charging points,EV,Publicly available fast,2018,charging points,180
Portugal,Historical,EV charging points,EV,Publicly available slow,2018,charging points,1600
Portugal,Historical,EV charging points,EV,Publicly available fast,2019,charging points,360
Portugal,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1600
Portugal,Historical,EV charging points,EV,Publicly available fast,2020,charging points,650
Portugal,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2200
Portugal,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1400
Portugal,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2800
South Africa,Historical,EV charging points,EV,Publicly available fast,2017,charging points,37
South Africa,Historical,EV charging points,EV,Publicly available slow,2017,charging points,87
South Africa,Historical,EV charging points,EV,Publicly available fast,2018,charging points,81
South Africa,Historical,EV charging points,EV,Publicly available slow,2018,charging points,160
South Africa,Historical,EV charging points,EV,Publicly available fast,2019,charging points,130
South Africa,Historical,EV charging points,EV,Publicly available slow,2019,charging points,110
South Africa,Historical,EV charging points,EV,Publicly available fast,2020,charging points,160
South Africa,Historical,EV charging points,EV,Publicly available slow,2020,charging points,140
South Africa,Historical,EV charging points,EV,Publicly available fast,2021,charging points,160
South Africa,Historical,EV charging points,EV,Publicly available slow,2021,charging points,140
Spain,Historical,EV charging points,EV,Publicly available slow,2012,charging points,400
Spain,Historical,EV charging points,EV,Publicly available fast,2013,charging points,91
Spain,Historical,EV charging points,EV,Publicly available slow,2013,charging points,800
Spain,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110
Spain,Historical,EV charging points,EV,Publicly available slow,2014,charging points,800
Spain,Historical,EV charging points,EV,Publicly available fast,2015,charging points,240
